,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
Dontrell Hilliard,CLE,RB,1,1,2,2.0,2.0,0,1,2.0,0,0,0,0,0,0,0
Adrian Killins,PHI,RB,1,1,2,2.0,2.0,0,1,2.0,0,0,0,0,0,0,0
J.K. Dobbins,BAL,RB,1,1,1,1.0,1.0,0,2,0.0,0,0,0,0,0,0,0
Jamal Agnew,DET,WR,1,1,1,1.0,1.0,0,2,0.0,0,0,0,0,0,0,0
Braxton Berrios,NYJ,WR,1,0,0,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0
Trent Taylor,SF,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Peyton Barber,WAS,RB,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Cordarrelle Patterson,CHI,WR,1,1,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
Jake Butt,DEN,TE,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
C.J. Board,NYG,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Brandin Cooks,HOU,WR,1,0,0,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0
Marvin Hall,DET,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
T.J. Yeldon,BUF,RB,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Kenjon Barner,TB,RB,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Adrian Peterson,DET,RB,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
Irv Smith,MIN,TE,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Cole Kmet,CHI,TE,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Adam Shaheen,MIA,TE,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
C.J. Ham,MIN,FB,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Nick Keizer,KC,TE,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Bisi Johnson,MIN,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Lawrence Cager,NYJ,WR,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
Calvin Ridley,ATL,WR,1,0,0,0.0,0.0,0,5,0.0,0,0,0,0,0,0,0
Van Jefferson,LAR,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Daurice Fountain,IND,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Ryan Izzo,NE,TE,1,0,0,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0
Darrel Williams,KC,RB,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Jordan Howard,MIA,RB,1,1,-3,-3.0,-3.0,0,1,-3.0,0,0,0,0,0,1,0
