,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
John Cominsky,ATL,DT,1,5.0,1,2,3,0.0,0,1,0,0
Kamren Curl,WAS,S,1,2.0,2,0,2,0.0,0,0,0,0
Javon Kinlaw,SF,DT,1,2.0,1,1,2,0.0,0,0,0,0
Raekwon Davis,MIA,DE,1,2.0,1,1,2,0.0,0,0,0,0
Julian Blackmon,IND,S,1,2.0,2,0,2,0.0,0,0,0,0
Grover Stewart,IND,DT,1,2.0,2,0,2,0.0,0,0,0,0
Darnay Holmes,NYG,CB,1,2.0,1,1,2,0.0,0,0,0,0
Anthony Rush,SEA,DT,1,2.0,1,1,2,0.0,0,0,0,0
K'Lavon Chaisson,JAX,DE,1,4.0,1,1,2,1.0,0,0,0,0
Trysten Hill,DAL,DT,1,2.0,1,1,2,0.0,0,0,0,0
Tarvarius Moore,SF,S,1,2.0,2,0,2,0.0,0,0,0,0
Amani Bledsoe,CIN,DE,1,2.0,1,1,2,0.0,0,0,0,0
Amani Hooker,TEN,S,1,2.0,2,0,2,0.0,0,0,0,0
Maxx Crosby,LV,DE,1,2.0,2,0,2,0.0,0,0,0,0
Kris Boyd,MIN,CB,1,2.0,2,0,2,0.0,0,0,0,0
Zach Allen,ARI,DE,1,2.0,2,0,2,0.0,0,0,0,0
Tim Settle,WAS,DT,1,2.0,2,0,2,0.0,0,0,0,0
Kingsley Keke,GB,DE,1,2.0,2,0,2,0.0,0,0,0,0
Byron Cowart,NE,DT,1,2.0,1,1,2,0.0,0,0,0,0
Azeez Al-Shaair,SF,LB,1,2.0,1,1,2,0.0,0,0,0,0
Ronnie Harrison,CLE,S,1,2.0,2,0,2,0.0,0,0,0,0
Blessuan Austin,NYJ,CB,1,2.0,2,0,2,0.0,0,0,0,0
Malik Hooker,IND,S,1,2.0,2,0,2,0.0,0,0,0,0
Tre Herndon,JAX,CB,1,2.0,2,0,2,0.0,0,0,0,0
Da'Shawn Hand,DET,DE,1,2.0,1,1,2,0.0,0,0,0,0
Taylor Stallworth,IND,DT,1,2.0,2,0,2,0.0,0,0,0,0
Armon Watts,MIN,DT,1,2.0,2,0,2,0.0,0,0,0,0
A.J. Moore,HOU,S,1,2.0,2,0,2,0.0,0,0,0,0
Bilal Nichols,CHI,DE,1,2.0,1,1,2,0.0,0,0,0,0
Jacob Martin,HOU,LB,1,2.0,2,0,2,0.0,0,0,0,0
Solomon Thomas,SF,DT,1,2.0,0,2,2,0.0,0,0,0,0
Jihad Ward,BAL,LB,1,2.0,0,2,2,0.0,0,0,0,0
Isaac Yiadom,NYG,CB,1,2.0,2,0,2,0.0,0,0,0,0
Shaun Dion Hamilton,WAS,LB,1,2.0,2,0,2,0.0,0,0,0,0
J.C. Jackson,NE,CB,1,2.0,1,1,2,0.0,0,0,0,0
Tracy Walker,DET,S,1,2.0,1,1,2,0.0,0,0,0,0
Maurice Hurst,LV,DT,1,2.0,1,1,2,0.0,0,0,0,0
Derek Rivers,NE,LB,1,3.0,0,2,2,0.5,0,0,0,0
Yannick Ngakoue,MIN,DE,1,6.0,2,0,2,1.0,1,0,0,0
Tre Flowers,SEA,CB,1,2.0,0,2,2,0.0,0,0,0,0
Raven Greene,GB,S,1,2.0,2,0,2,0.0,0,0,0,0
