,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Corey Clement,PHI,RB,1,2.1,0,0,0,0,0,6,19,0,2,2,2,0,0,0
Mike Evans,TB,WR,1,6.2,0,0,0,0,0,0,0,0,1,4,2,1,0,0
Bruce Miller,JAX,FB,1,0.2,0,0,0,0,0,0,0,0,1,1,2,0,0,0
LeSean McCoy,TB,RB,1,0.2,0,0,0,0,0,0,0,0,1,1,2,0,0,0
Jason Witten,LV,TE,1,0.2,0,0,0,0,0,0,0,0,1,1,2,0,0,0
Ito Smith,ATL,RB,1,0.6,0,0,0,0,0,1,4,0,3,3,2,0,0,0
Jaylen Samuels,PIT,RB,1,0.3,0,0,0,0,0,1,2,0,1,1,1,0,0,0
Javon Wims,CHI,WR,1,6.1,0,0,0,0,0,0,0,0,1,2,1,1,0,0
MyCole Pruitt,TEN,TE,1,6.1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
J.D. McKissic,WAS,RB,1,-0.1,0,0,0,0,0,3,-2,0,1,5,1,0,0,0
Todd Gurley,ATL,RB,1,11.7,0,0,0,0,0,14,56,1,2,5,1,0,0,0
Duke Johnson,HOU,RB,1,1.4,0,0,0,0,0,5,14,0,0,1,0,0,0,0
Kalif Raymond,TEN,WR,1,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Tajae Sharpe,MIN,WR,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jake Butt,DEN,TE,1,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Maxx Williams,ARI,TE,1,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Jamal Agnew,DET,WR,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cameron Brate,TB,TE,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
James O'Shaughnessy,JAX,TE,1,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Dion Lewis,NYG,RB,1,0.1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Chris Hogan,NYJ,WR,1,0.0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Demetrius Harris,CHI,TE,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ted Ginn,CHI,WR,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Luke Stocker,ATL,TE,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kenny Stills,HOU,WR,1,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Latavius Murray,NO,RB,1,4.8,0,0,0,0,0,15,48,0,0,1,0,0,0,0
Josh Hill,NO,TE,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benny Snell,PIT,RB,1,11.3,0,0,0,0,0,19,113,0,0,1,0,0,1,0
Clyde Edwards-Helaire,KC,RB,1,19.8,0,0,0,0,0,25,138,1,0,2,0,0,0,0
Cole Kmet,CHI,TE,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dante Pettis,SF,WR,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jeremy McNichols,TEN,RB,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Christian Kirk,ARI,WR,1,0.0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Damion Ratley,NYG,WR,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jace Sternberger,GB,TE,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Stephen Carlson,CLE,TE,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dalvin Cook,MIN,RB,1,16.8,0,0,0,0,0,12,50,2,1,2,-2,0,0,0
John Hightower,PHI,WR,1,-0.2,0,0,0,0,0,0,0,0,1,4,-2,0,0,0
Nick Vannett,DEN,TE,1,-0.6,0,0,0,0,0,0,0,0,1,2,-6,0,0,0
