,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Josh Bellamy,CHI,WR,16,38,19,282,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Travaris Cadet,NO,RB,15,54,40,281,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Brandon Coleman,NO,WR,16,38,26,281,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Julius Thomas,JAX,TE,9,51,30,281,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Albert Wilson,KC,WR,16,51,31,279,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Frank Gore,IND,RB,16,47,38,277,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Corey Brown,CAR,WR,16,53,27,276,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Chester Rogers,IND,WR,14,34,19,273,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Richard Rodgers,GB,TE,16,47,30,271,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Austin Hooper,ATL,TE,14,27,19,271,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Torrey Smith,SF,WR,12,49,20,267,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Kyle Juszczyk,BAL,FB,16,49,37,266,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Devontae Booker,DEN,RB,16,45,31,265,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Latavius Murray,OAK,RB,14,43,33,264,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Levine Toilolo,ATL,TE,16,19,13,264,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Shaun Draughn,SF,RB,16,39,29,263,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Matt Asiata,MIN,RB,16,38,32,263,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Matt Forte,NYJ,RB,14,43,30,263,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Dion Sims,MIA,TE,14,35,26,256,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jerick McKinnon,MIN,RB,15,53,43,255,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Damien Williams,MIA,RB,15,32,23,249,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Deonte Thompson,CHI,WR,16,36,22,249,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Danny Amendola,NE,WR,12,29,23,243,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Virgil Green,DEN,TE,12,37,22,237,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Terrance West,BAL,RB,16,45,34,236,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Cobi Hamilton,PIT,WR,11,28,17,234,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
C.J. Uzomah,CIN,TE,10,38,25,234,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Charles Johnson,MIN,WR,16,37,20,232,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jordan Norwood,DEN,WR,14,35,21,232,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Bryan Walters,JAX,WR,10,34,24,231,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jamize Olawale,OAK,FB,16,14,12,227,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Fozzy Whittaker,CAR,RB,16,33,25,226,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Brice Butler,DAL,WR,16,32,16,219,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jacob Tamme,ATL,TE,8,31,22,210,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Harry Douglas,TEN,WR,11,22,15,210,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jordan Taylor,DEN,WR,16,25,16,209,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
C.J. Prosise,SEA,RB,6,19,17,208,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Ricardo Louis,CLE,WR,16,35,18,205,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Justin Hardy,ATL,WR,16,31,21,203,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Geronimo Allison,GB,WR,10,22,12,202,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Rashad Jennings,NYG,RB,13,42,35,201,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tim Hightower,NO,RB,16,26,22,200,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Cody Core,CIN,WR,8,27,17,200,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Zach Zenner,DET,RB,14,23,18,196,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jalen Richard,OAK,RB,16,39,29,194,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Eric Decker,NYJ,WR,3,21,9,194,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
