,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
LeGarrette Blount,NE,RB,16,7,38,0,8,0,0,0,0.00
Alan Cross,TB,TE,14,6,38,1,10,1,1,1,1.41
Jeremy Ross,ARI,WR,2,4,37,1,4,1,1,1,1.23
Bradley Marquez,LAR,WR,14,3,37,0,7,1,0,0,1.82
Mike Thomas,LAR,WR,15,3,37,0,9,1,0,0,1.82
Justin Forsett,BAL,RB,3,11,36,0,14,0,0,0,0.00
Quan Bray,IND,WR,6,3,36,0,4,0,0,0,0.00
Dexter McCluster,SD,RB,6,7,36,0,11,7,1,0,7.61
Brandon Williams,SEA,TE,16,2,36,0,3,0,0,0,0.00
Corey Grant,JAX,RB,11,4,35,1,7,1,0,0,1.37
Danny Woodhead,SD,RB,2,6,35,1,8,2,2,1,2.17
De'Anthony Thomas,KC,WR,12,7,35,0,9,0,0,0,0.00
Justin Perillo,GB,TE,9,4,35,0,5,0,0,0,0.00
Justin Forsett,DEN,RB,4,7,34,0,10,2,0,0,2.74
Johnny Holton,OAK,WR,15,2,34,0,3,0,0,0,0.00
Fitzgerald Toussaint,PIT,RB,16,3,33,0,3,0,0,0,0.00
John Phillips,NO,TE,8,5,32,0,7,1,1,1,0.93
Rashad Greene,JAX,WR,8,5,32,0,8,1,0,0,1.37
Nick Vannett,SEA,TE,9,3,32,0,4,0,0,0,0.00
Gavin Escobar,DAL,TE,16,4,30,1,7,2,1,1,3.33
Akeem Hunt,HOU,RB,8,3,29,0,4,1,0,0,1.33
Leonte Carroo,MIA,WR,14,3,29,1,6,2,0,0,3.77
Lee Smith,OAK,TE,4,6,29,0,6,0,0,0,0.00
Eddie Lacy,GB,RB,5,4,28,0,7,0,0,0,0.00
Peyton Barber,TB,RB,15,5,28,0,6,3,1,0,4.23
Danny Vitale,CLE,FB,9,4,27,0,5,1,1,1,1.75
Niles Paul,WAS,TE,8,2,27,0,2,0,0,0,0.00
Mike Davis,SF,RB,8,3,25,0,5,2,0,0,3.92
Sean McGrath,SD,TE,16,2,25,0,2,0,0,0,0.00
