,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Takkarist McKinley,ATL,DE,1,43,2,2,4,1.0,0,0,0,0,1
Darious Williams,LAR,CB,1,64,4,0,4,0.0,0,0,0,0,0
Uchenna Nwosu,LAC,DE,1,16,2,2,4,1.0,0,0,0,0,0
Frankie Luvu,NYJ,LB,1,21,2,2,4,0.0,0,0,0,0,0
Amani Oruwariye,DET,CB,1,65,4,0,4,0.0,0,0,0,0,0
Harold Landry,TEN,LB,1,57,4,0,4,0.0,0,0,0,0,0
Jabrill Peppers,NYG,S,1,63,1,3,4,0.0,0,0,0,0,1
Avonte Maddox,PHI,CB,1,61,4,0,4,0.0,0,0,0,0,1
Jahlani Tavai,DET,LB,1,51,3,1,4,0.0,0,0,0,0,0
Tre Herndon,JAX,CB,1,73,4,0,4,0.0,0,0,0,0,1
Vernon Hargreaves,HOU,CB,1,44,4,0,4,0.0,0,0,0,0,0
Samson Ebukam,LAR,LB,1,53,2,2,4,0.0,0,0,0,0,0
Justin Zimmer,BUF,DT,1,16,2,2,4,0.0,0,0,0,0,0
Matt Milano,BUF,LB,1,21,3,1,4,0.0,0,0,1,0,1
John Johnson,LAR,S,1,72,3,1,4,0.0,0,0,0,0,0
Carl Lawson,CIN,DE,1,43,3,1,4,1.0,0,0,0,0,0
Desmond King,LAC,CB,1,41,3,1,4,0.0,0,0,0,0,0
Chris Jones,KC,DT,1,52,3,1,4,1.5,0,0,0,0,0
Tavierre Thomas,CLE,CB,1,28,3,1,4,1.0,0,0,0,0,0
Chris Claybrooks,JAX,CB,1,10,3,0,3,0.0,0,0,0,0,0
Mykal Walker,ATL,LB,1,10,1,2,3,0.0,0,0,0,0,0
Kamren Curl,WAS,S,1,22,2,1,3,0.0,0,0,0,0,0
Folorunso Fatukasi,NYJ,DT,1,31,2,1,3,0.0,0,0,0,0,0
Maurice Hurst,LV,DT,1,20,1,2,3,0.5,0,0,0,0,0
Antonio Hamilton,KC,CB,1,38,3,0,3,0.0,0,0,0,0,0
Jonathan Allen,WAS,DT,1,36,1,2,3,0.5,0,0,0,0,0
Sebastian Joseph-Day,LAR,DT,1,22,2,1,3,0.0,0,0,0,0,0
Larry Ogunjobi,CLE,DT,1,32,3,0,3,0.0,1,0,0,0,0
Malik Reed,DEN,LB,1,33,2,1,3,0.0,0,0,0,0,0
Davon Godchaux,MIA,DT,1,44,3,0,3,0.0,0,0,0,0,0
Poona Ford,SEA,DT,1,42,2,1,3,0.0,0,0,0,0,0
Isaiah Johnson,LV,CB,1,16,2,1,3,0.0,0,0,0,0,0
Leighton Vander Esch,DAL,LB,1,23,2,1,3,0.0,0,0,0,0,0
Andrew Van Ginkel,MIA,LB,1,8,3,0,3,0.0,0,0,0,0,0
Denzel Ward,CLE,CB,1,59,3,0,3,0.0,0,0,0,0,0
Tremaine Edmunds,BUF,LB,1,36,2,1,3,0.0,0,0,0,0,0
Khari Willis,IND,S,1,50,1,2,3,1.0,0,0,0,0,0
Michael Danna,KC,DE,1,29,3,0,3,0.0,0,0,0,0,0
Clelin Ferrell,LV,DE,1,52,0,3,3,0.0,0,0,0,0,1
Josh Sweat,PHI,DE,1,49,2,1,3,1.0,1,0,0,0,0
Akeem Davis-Gaither,CIN,LB,1,20,3,0,3,0.0,0,0,0,0,0
David Long,TEN,LB,1,10,2,1,3,0.0,0,0,0,0,0
Dre'Mont Jones,DEN,DE,1,38,2,1,3,0.0,0,0,0,0,0
Logan Wilson,CIN,LB,1,22,3,0,3,0.0,0,0,0,0,0
Quinnen Williams,NYJ,DE,1,50,0,3,3,0.0,0,0,0,0,0
Julian Love,NYG,S,1,64,3,0,3,0.0,0,0,0,0,0
Trevon Diggs,DAL,CB,1,73,2,1,3,0.0,0,0,0,0,0
Darnay Holmes,NYG,CB,1,47,2,1,3,0.0,0,0,0,0,0
Morgan Fox,LAR,DE,1,23,2,1,3,0.0,0,0,0,0,1
L'Jarius Sneed,KC,CB,1,55,3,0,3,0.0,0,0,1,0,2
Isaiah Simmons,ARI,LB,1,18,3,0,3,0.0,0,0,0,0,0
Shaquil Barrett,TB,LB,1,60,3,0,3,0.0,0,0,0,0,1
Frank Clark,KC,DE,1,53,2,1,3,1.0,0,0,0,0,0
Darius Slay,PHI,CB,1,64,2,1,3,0.0,0,0,0,0,0
Jadeveon Clowney,TEN,DE,1,47,2,1,3,0.0,0,0,0,0,0
Denzel Perryman,LAC,LB,1,12,1,2,3,0.0,1,0,0,0,0
Will Redmond,GB,CB,1,24,2,1,3,0.0,0,0,0,0,0
Adam Butler,NE,DT,1,34,2,1,3,0.0,0,0,0,0,0
Stephen Weatherly,CAR,DE,1,38,0,3,3,0.0,0,0,0,0,0
Marcus Peters,BAL,CB,1,71,3,0,3,0.0,0,0,0,0,1
