,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Andrew Adams,TB,S,14,50.0,41.0,5,46,0.0,1,0,1,0
Kendall Sheffield,ATL,CB,16,48.0,33.0,13,46,0.0,1,0,0,0
Lorenzo Carter,NYG,LB,15,56.0,25.0,20,45,4.5,1,0,0,0
Mike Hughes,MIN,CB,14,51.0,39.0,6,45,0.0,2,0,1,0
Adoree' Jackson,TEN,CB,11,45.0,39.0,6,45,0.0,0,0,0,0
Darian Thompson,DAL,S,15,50.0,23.0,22,45,1.5,0,1,0,0
DeMarcus Lawrence,DAL,DE,16,63.0,30.0,15,45,5.0,2,2,0,0
Jahleel Addae,HOU,S,16,49.0,35.0,10,45,0.0,0,0,2,0
Kemal Ishmael,ATL,S,14,46.0,25.0,19,44,0.0,1,0,0,0
John Simon,NE,LB,16,56.0,28.0,16,44,4.0,1,0,1,0
Jurrell Casey,TEN,DE,14,60.0,26.0,18,44,5.0,1,2,0,0
Justin Houston,IND,DE,16,76.0,33.0,11,44,11.0,2,3,0,0
Linval Joseph,MIN,DT,13,52.0,26.0,18,44,3.0,1,0,0,0
P.J. Williams,NO,CB,14,48.0,34.0,10,44,1.0,0,0,1,0
Ryan Anderson,WAS,DE,16,66.0,30.0,14,44,4.0,5,2,0,0
Fabian Moreau,WAS,CB,12,50.0,33.0,11,44,0.0,0,0,3,0
Denzel Ward,CLE,CB,12,56.0,38.0,6,44,0.0,0,1,2,1
Ja'Whaun Bentley,NE,LB,16,44.0,29.0,15,44,0.0,0,0,0,0
Sebastian Joseph-Day,LAR,DT,16,48.0,25.0,19,44,2.0,0,0,0,0
Josh Allen,JAX,DE,16,69.0,31.0,13,44,10.5,2,0,0,0
Sean Murphy-Bunting,TB,CB,16,60.0,37.0,7,44,1.0,1,0,3,1
Ed Oliver,BUF,DT,16,55.0,24.0,19,43,5.0,1,0,0,0
Isaac Yiadom,DEN,CB,16,43.0,32.0,11,43,0.0,0,0,0,0
Grant Haley,NYG,CB,15,45.0,36.0,7,43,1.0,0,0,0,0
Will Harris,DET,S,16,45.0,30.0,13,43,1.0,0,0,0,0
Troy Hill,LAR,CB,14,49.0,32.0,11,43,1.0,0,0,2,0
Wesley Woodyard,TEN,LB,15,46.0,25.0,17,42,1.0,1,0,0,0
Nick Williams,CHI,DT,16,58.0,24.0,18,42,6.0,0,2,0,0
Vic Beasley,ATL,DE,16,62.0,28.0,14,42,8.0,2,0,0,0
DaQuan Jones,TEN,DT,16,44.0,21.0,21,42,1.0,0,0,0,0
Brandon Copeland,NYJ,LB,12,47.0,27.0,15,42,1.5,1,0,0,0
Leon Jacobs,JAX,LB,14,48.0,31.0,11,42,2.0,0,1,0,0
Jimmy Moreland,WAS,CB,14,42.0,32.0,10,42,0.0,0,0,0,0
Sam Eguavoen,MIA,LB,16,51.0,22.0,20,42,3.5,0,1,0,0
Sheldrick Redwine,CLE,S,12,42.0,28.0,14,42,0.0,0,0,0,0
Brandon Facyson,LAC,CB,16,41.0,30.0,11,41,0.0,0,0,0,0
Will Compton,OAK,LB,9,41.0,26.0,15,41,0.0,0,0,0,0
D.J. Hayden,JAX,CB,15,49.0,32.0,9,41,2.0,1,1,0,0
Tyson Alualu,PIT,DE,16,45.0,21.0,20,41,1.0,1,0,0,0
Ndamukong Suh,TB,DE,16,66.0,22.0,19,41,2.5,0,4,0,2
Everson Griffen,MIN,DE,15,59.0,26.0,15,41,8.0,0,0,1,0
