,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Keith Kirkwood,NO,WR,8,32.9,0,0,0,0,0,0,0,0,13,21,209,2,0,0
Adrian Peterson,WAS,RB,16,173.0,0,0,0,0,0,251,1042,7,20,26,208,1,3,2
Aaron Jones,GB,RB,12,147.4,0,0,0,0,0,133,728,8,26,35,206,1,1,1
Chris Ivory,BUF,RB,13,65.0,0,0,0,0,0,115,385,1,13,21,205,0,1,0
Mike Gesicki,MIA,TE,16,20.2,0,0,0,0,0,0,0,0,22,32,202,0,1,1
Jaylen Samuels,PIT,RB,14,63.5,0,0,0,0,0,56,256,0,26,29,199,3,1,0
Bennie Fowler,NYG,WR,10,25.9,0,0,0,0,0,0,0,0,16,27,199,1,1,0
Javorius Allen,BAL,RB,14,60.6,0,0,0,0,0,41,110,3,35,43,196,2,1,1
Chris Moore,BAL,WR,16,27.3,0,0,0,0,0,5,17,0,19,25,196,1,0,0
Elijah McGuire,NYJ,RB,8,70.9,0,0,0,0,0,92,276,3,19,31,193,1,2,2
Corey Clement,PHI,RB,11,57.1,0,0,0,0,0,68,259,2,22,25,192,0,4,0
Cody Latimer,NYG,WR,6,25.0,0,0,0,0,0,0,0,0,11,16,190,1,0,0
TJ Jones,DET,WR,15,31.0,0,0,0,0,0,0,0,0,19,26,190,2,0,0
Torrey Smith,CAR,WR,11,31.0,0,0,0,0,0,0,0,0,17,31,190,2,0,0
Russell Shepard,NYG,WR,12,30.8,0,0,0,0,0,0,0,0,10,19,188,2,0,0
Travis Benjamin,LAC,WR,12,28.7,0,0,0,0,0,7,41,0,12,24,186,1,0,0
Josh Hill,NO,TE,16,24.5,0,0,0,0,0,0,0,0,16,24,185,1,0,0
Leonard Fournette,JAX,RB,8,98.4,0,0,0,0,0,133,439,5,22,26,185,1,0,0
Charles Clay,BUF,TE,13,18.4,0,0,0,0,0,0,0,0,21,36,184,0,1,1
Tyler Eifert,CIN,TE,4,23.9,0,0,0,0,0,0,0,0,15,19,179,1,0,0
Isaiah McKenzie,BUF,WR,7,36.5,0,0,0,0,0,10,66,2,18,30,179,0,2,1
DJ Chark,JAX,WR,11,17.4,0,0,0,0,0,0,0,0,14,32,174,0,1,1
Chad Williams,ARI,WR,10,24.0,0,0,0,0,0,1,9,0,17,46,171,1,0,0
Lance Kendricks,GB,TE,16,23.0,0,0,0,0,0,0,0,0,19,25,170,1,0,0
Mark Ingram,NO,RB,12,123.5,0,0,0,0,0,138,645,6,21,27,170,1,3,1
Alex Erickson,CIN,WR,16,18.9,0,0,0,0,0,3,22,0,20,29,167,0,1,1
Jaron Brown,SEA,WR,16,46.6,0,0,0,0,0,0,0,0,14,19,166,5,0,0
Luke Stocker,TEN,TE,16,28.5,0,0,0,0,0,1,0,0,15,21,165,2,0,0
Demetrius Harris,KC,TE,15,34.4,0,0,0,0,0,0,0,0,12,25,164,3,0,0
Lamar Miller,HOU,RB,14,149.6,0,0,0,0,0,210,973,5,25,35,163,1,1,1
Chris Carson,SEA,RB,14,185.4,0,0,0,0,0,247,1151,9,20,24,163,0,3,2
Hayden Hurst,BAL,TE,12,22.3,0,0,0,0,0,1,0,0,13,23,163,1,0,0
Andre Holmes,BUF/DEN,WR,15,16.2,0,0,0,0,0,0,0,0,13,24,162,0,0,0
Deonte Thompson,BUF/DAL,WR,13,16.1,0,0,0,0,0,0,0,0,17,30,161,0,0,0
Darren Sproles,PHI,RB,6,46.0,0,0,0,0,0,29,120,1,15,23,160,2,0,0
Damien Williams,KC,RB,16,77.6,0,0,0,0,0,50,256,4,23,24,160,2,1,1
Cody Core,CIN,WR,14,22.0,0,0,0,0,0,0,0,0,13,28,160,1,0,0
Will Dissly,SEA,TE,4,27.6,0,0,0,0,0,0,0,0,8,14,156,2,0,0
Marcell Ateman,OAK,WR,7,21.4,0,0,0,0,0,0,0,0,15,31,154,1,0,0
Alfred Blue,HOU,RB,16,77.3,0,0,0,0,0,150,499,2,20,27,154,0,0,0
Isaiah Crowell,NYJ,RB,13,119.7,0,0,0,0,0,143,685,6,21,28,152,0,0,0
Ito Smith,ATL,RB,14,70.7,0,0,0,0,0,90,315,4,27,32,152,0,1,0
Dan Arnold,NO,TE,10,21.0,0,0,0,0,0,0,0,0,12,19,150,1,1,0
Marvin Hall,ATL,WR,16,20.9,0,0,0,0,0,2,0,0,10,19,149,1,0,0
Nick Chubb,CLE,RB,16,174.5,0,0,0,0,0,192,996,8,20,29,149,2,0,0
Jordan Howard,CHI,RB,16,162.0,0,0,0,0,0,250,935,9,20,27,145,0,2,1
Damion Ratley,CLE,WR,13,14.4,0,0,0,0,0,0,0,0,13,20,144,0,0,0
Trenton Cannon,NYJ,RB,16,31.7,0,0,0,0,0,38,113,1,17,25,144,0,0,0
Deontay Burnett,NYJ,WR,5,14.3,0,0,0,0,0,0,0,0,10,15,143,0,0,0
Maxx Williams,BAL,TE,13,21.1,0,0,0,0,0,3,8,0,16,17,143,1,0,0
Ed Dickson,SEA,TE,10,33.2,0,0,0,0,0,1,9,0,12,13,143,3,0,0
Latavius Murray,MIN,RB,16,107.9,0,0,0,0,0,140,578,6,22,26,141,0,0,0
Tavon Austin,DAL,WR,7,31.5,0,0,0,0,0,6,55,0,8,13,140,2,0,0
Brandon Marshall,SEA,WR,7,19.6,0,0,0,0,0,0,0,0,11,23,136,1,0,0
Brandon LaFell,OAK,WR,6,25.5,0,0,0,0,0,0,0,0,12,16,135,2,0,0
Justin Jackson,LAC,RB,13,46.1,0,0,0,0,0,50,206,2,15,19,135,0,0,0
Mo Alie-Cox,IND,TE,9,25.3,0,0,0,0,0,0,0,0,7,13,133,2,0,0
Justin Hardy,ATL,WR,16,25.3,0,0,0,0,0,0,0,0,14,22,133,2,1,0
Rex Burkhead,NE,RB,8,37.7,0,0,0,0,0,57,186,0,14,20,131,1,2,1
Richie James,SF,WR,13,19.0,0,0,0,0,0,0,0,0,9,14,130,1,2,1
Brandon Powell,DET,WR,6,13.3,0,0,0,0,0,1,4,0,11,17,129,0,0,0
Frank Gore,MIA,RB,14,90.6,0,0,0,0,0,156,722,0,12,16,124,1,1,0
Josh Bellamy,CHI,WR,16,17.7,0,0,0,0,0,0,0,0,14,25,117,1,0,0
Darren Fells,CLE,TE,16,29.7,0,0,0,0,0,0,0,0,11,12,117,3,0,0
Doug Martin,OAK,RB,16,107.9,0,0,0,0,0,172,723,4,18,24,116,0,3,3
Dalton Schultz,DAL,TE,11,11.6,0,0,0,0,0,0,0,0,12,17,116,0,0,0
Kapri Bibbs,WAS/GB,RB,12,45.8,0,0,0,0,0,21,103,3,16,23,115,1,1,0
Cameron Meredith,NO,WR,6,17.4,0,0,0,0,0,0,0,0,9,10,114,1,1,1
