,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Rashan Gary,GB,2019,Combine,6-5,277,34.13,9.63,4.58,80.0,4.29,55.9,7.26,22.2,38.0,86.2,120.0,61.0,26.0,79.9
Curtis Gatewood,FA,2008,Combine,6-3,250,,,4.72,42.3,4.22,78.4,6.90,83.1,28.5,2.9,111.0,11.1,22.0,47.0
Willie Gay,KC,2020,Combine,6-1,243,32.63,10.50,4.46,96.0,4.30,53.6,7.08,52.9,39.5,94.2,136.0,99.6,21.0,38.4
James Gayle,FA,2014,Combine,6-4,255,,,4.70,47.8,4.27,65.1,7.19,33.5,37.0,79.0,122.0,74.5,26.0,79.9
Ben Gedeon,MIN,2017,Combine,6-2,244,32.63,10.00,4.75,33.3,4.13,90.8,6.98,70.8,34.5,56.0,119.0,54.5,27.0,84.2
Jeremiah George,FA,2014,Combine,5-11,234,,,4.91,5.0,,-,,-,33.0,37.3,116.0,35.0,28.0,89.5
Jimmie Gilbert,FA,2017,Pro Day,6-5,230,,,4.62,70.6,,-,,-,,-,,-,12.0,1.1
Joe Giles-Harris,FA,2019,Combine,6-2,234,31.25,8.50,4.75,33.3,,-,,-,29.5,6.0,111.0,11.1,17.0,13.2
Trevis Gipson,CHI,2020,Combine,6-3,261,33.88,9.63,,-,,-,,-,,-,,-,25.0,73.7
Travis Goethel,FA,2010,Combine,6-3,237,,,4.81,20.2,4.54,9.2,6.93,77.8,35.0,60.3,111.0,11.1,21.0,38.4
Markus Golden,NYG,2015,Combine,6-3,260,,,4.90,6.7,,-,,-,,-,,-,,-
Najee Goode,FA,,Combine,6-0,244,31.88,9.00,4.64,67.5,,-,,-,35.5,67.0,117.0,41.2,,-
Tavares Gooden,FA,2008,Combine,6-1,234,,,4.62,70.6,,-,,-,35.0,60.3,118.0,47.7,22.0,47.0
Zaviar Gooden,FA,,Combine,6-1,231,,,4.47,95.2,4.18,86.1,6.71,96.0,34.0,51.6,131.0,97.6,27.0,84.2
B.J. Goodson,CLE,2016,Combine,6-1,242,33.25,10.00,4.69,51.0,4.51,13.6,7.05,59.4,34.5,56.0,118.0,47.7,30.0,93.6
Jermaine Grace,FA,2017,Pro Day,6-0,223,,,,-,4.50,14.5,,-,,-,,-,,-
Larry Grant,FA,2008,Combine,6-1,245,,,4.76,31.0,4.22,78.4,6.77,94.5,31.5,21.4,113.0,18.4,20.0,29.5
Jonathan Greenard,HOU,2020,Combine,6-3,263,34.88,9.25,4.87,10.3,4.34,42.0,7.13,43.4,30.5,12.7,113.0,18.4,22.0,47.0
Khaseem Greene,FA,,Combine,6-1,241,,,4.71,44.8,4.20,81.7,7.58,2.2,30.0,9.6,116.0,35.0,17.0,13.2
Dre Greenlaw,SF,2019,Combine,6-0,227,32.25,9.88,,-,,-,,-,33.0,37.3,117.0,41.2,24.0,63.9
Chad Greenway,FA,,Combine,6-3,237,,,4.76,31.0,4.22,78.4,7.01,64.6,33.5,45.3,117.0,41.2,16.0,9.1
Shaquem Griffin,SEA,2018,Combine,6-0,227,32.13,9.00,4.38,99.8,,-,,-,,-,117.0,41.2,20.0,29.5
