Player Name,Team,Pos,Status,Injury,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Shawn Williams,CIN,S,,,-,-,LP,-,-,-,-
Jordan Willis,NYJ,LB,,,-,-,FP,FP,FP,-,-
Jedrick Wills,CLE,OT,,,-,-,FP,FP,FP,-,-
Jarrod Wilson,JAX,S,IR-R,Hamstring,-,-,LP,LP,-,-,-
Logan Wilson,CIN,LB,,,-,-,LP,FP,FP,-,-
Brian Winters,BUF,OG,Questionable,Knee,-,-,LP,DNP,DNP,LP,-
Ahkello Witherspoon,SF,CB,Questionable,Hamstring,-,-,LP,LP,LP,-,-
Jason Witten,LV,TE,,,-,-,DNP-Non Injury,-,-,-,-
Derek Wolfe,BAL,DE,Questionable,Elbow,-,-,FP,FP,DNP,-,-
Josh Woods,CHI,LB,,,-,FP,FP,-,-,-,-
K.J. Wright,SEA,LB,,,-,-,DNP,FP,-,-,-
Isaiah Wynn,NE,OT,Questionable,Calf,-,-,LP,LP,LP,LP,-
Oshane Ximines,NYG,LB,IR,Shoulder,-,-,DNP,DNP,DNP,-,-
Chase Young,WAS,DE,Questionable,Groin,-,-,DNP,LP,FP,-,-
Kenny Young,LAR,LB,,,-,-,DNP,LP,FP,-,-
Sam Young,LV,OT,,,-,-,LP,LP,LP,-,-
